dms_orig,dms_dest,dms_mode,sctg2,tons_2015,value_2015
16,49,2,2,2.3522,2.049
16,53,1,2,392.2645,90.4964
16,53,2,2,273.4561,67.3287
17,1,3,2,1378.0612,180.0176
17,5,1,2,5.4848,1.3454
17,12,2,2,249.7909,69.4281
17,13,2,2,2495.8665,591.3612
17,13,5,2,0.0071,0.0061
17,17,1,2,78541.2374,16189.8922
17,17,2,2,9413.7499,2320.0763
17,17,3,2,290.0829,78.0392
17,18,1,2,528.5651,228.9389
17,18,5,2,0.0111,0.0141
17,19,1,2,852.7186,168.0981
17,20,2,2,0.0439,0.0131
17,21,1,2,41.7458,8.7866
17,22,1,2,143.4552,33.7798
17,22,2,2,93.8645,22.0026
17,22,3,2,4018.824,1082.936
17,24,2,2,210.7041,48.6604
17,26,1,2,150.4668,31.6791
17,27,3,2,324.5518,69.2879
17,27,5,2,297.3267,66.0879
17,28,2,2,2620.8259,597.5822
17,29,1,2,1766.8385,344.0154
17,29,3,2,75.7661,17.688
17,29,5,2,197.9609,59.045
17,36,2,2,83.3938,18.5917
17,37,1,2,13.4925,1.4432
17,39,1,2,16.1991,7.6392
17,39,2,2,17.2225,3.7092
17,47,1,2,3.4899,0.6366
17,47,2,2,3392.3214,762.3935
17,48,1,2,106.3501,22.1599
17,48,2,2,102.5027,28.9643
17,55,1,2,205.1847,42.6498
18,5,2,2,124.8394,32.7403
18,6,5,2,0.0001,0.2285
18,12,2,2,348.8805,84.0352
18,13,1,2,89.1203,22.7493
18,13,2,2,1680.2111,399.5559
18,17,1,2,2624.063,790.9149
18,17,2,2,100.1723,22.0974
18,17,5,2,0.2779,0.0001
18,18,1,2,25985.0214,6437.0678
18,18,2,2,1361.6416,318.4538
18,18,3,2,73.6573,17.9628
18,19,1,2,14.7099,148.4824
18,19,5,2,0.0133,0.2723
18,20,1,2,88.6474,25.0918
18,21,1,2,203.67,218.2938
18,21,2,2,178.2142,38.8169
18,22,3,2,2868.2637,676.8085
18,24,2,2,31.9674,6.9363
18,26,1,2,875.6058,211.0353
18,27,1,2,111.8163,25.9387
18,27,2,2,162.5701,40.0644
18,29,1,2,2.7896,1.3659
18,29,5,2,0.0001,0.0485
18,31,1,2,27.6549,363.5992
